customerID,tenure,Contract,MonthlyCharges,InternetService,OnlineSecurity,TechSupport,ChurnProbability
9308-ANMVE,47,Month-to-month,55.3,DSL,Yes,No,0.8996772956516288
8563-OYMQY,17,Month-to-month,90.95,Fiber optic,No,No,0.8996772956516288
1697-NVVGY,19,Month-to-month,66.4,DSL,Yes,No,0.8996772956516288
4193-IBKSW,72,Two year,24.75,No,No internet service,No internet service,0.8994380338312538
9786-IJYDL,35,Two year,113.2,Fiber optic,Yes,Yes,0.8994380338312538
7268-WNTCP,62,Two year,20.45,No,No internet service,No internet service,0.8993038674643158
0587-DMGBH,8,Month-to-month,49.85,DSL,Yes,No,0.898853714694593
3154-HMWUU,60,Two year,20.5,No,No internet service,No internet service,0.8985124433436802
2790-XUYMV,71,One year,85.45,Fiber optic,Yes,No,0.8985124433436802
1017-FBQMM,62,One year,106.05,Fiber optic,No,Yes,0.8980669516533863
4049-ZPALD,64,Two year,99.0,Fiber optic,Yes,No,0.8977845138759644
7234-KMNRQ,4,Month-to-month,19.0,No,No internet service,No internet service,0.8977845138759644
6904-JLBGY,72,Two year,117.35,Fiber optic,Yes,Yes,0.8977845138759644
2259-OUUSZ,7,One year,35.5,DSL,No,Yes,0.8977845138759644
7619-PLRLP,53,One year,74.1,DSL,Yes,No,0.8977845138759644
8668-KNZTI,52,One year,53.75,DSL,Yes,No,0.8976208868296809
9975-GPKZU,46,Two year,19.75,No,No internet service,No internet service,0.8974426788507175
2322-VCZHZ,23,Month-to-month,90.0,Fiber optic,Yes,No,0.8974261002775188
0378-XSZPU,58,One year,60.3,DSL,Yes,No,0.8967657790371695
2393-DIVAI,3,Month-to-month,20.0,No,No internet service,No internet service,0.8967657790371695
1208-DNHLN,23,One year,48.35,DSL,No,No,0.8963130184724367
8914-RBTSB,31,Month-to-month,93.8,Fiber optic,No,No,0.8961334809986422
9700-ISPUP,10,Month-to-month,65.5,DSL,No,Yes,0.8961334809986422
8169-SAEJD,69,Two year,56.55,DSL,Yes,No,0.8961334809986422
8017-UVSZU,40,Month-to-month,56.6,DSL,No,No,0.8957688193566017
3001-UNBTL,29,Month-to-month,103.95,Fiber optic,No,No,0.8957688193566017
7560-QRBXH,48,One year,19.95,No,No internet service,No internet service,0.8954213273571215
6362-QHAFM,42,One year,108.3,Fiber optic,No,Yes,0.8952556556584769
3913-RDSJZ,64,Two year,25.55,No,No internet service,No internet service,0.8952556556584769
3398-GCPMU,72,Two year,89.55,DSL,Yes,Yes,0.8943175541010473
5876-HZVZM,6,Month-to-month,55.9,DSL,Yes,No,0.8940145998208018
3158-MOERK,2,Month-to-month,96.0,Fiber optic,No,No,0.8940011500215753
5138-WVKYJ,10,Month-to-month,98.55,Fiber optic,Yes,No,0.8937672490807012
5038-ETMLM,72,Two year,113.65,Fiber optic,Yes,Yes,0.8936882171848102
8100-PNJMH,68,Two year,88.85,DSL,Yes,Yes,0.8930709603816027
0239-OXEXL,46,Month-to-month,84.25,Fiber optic,Yes,No,0.8930685963139721
9369-XFEHK,33,Month-to-month,80.6,Fiber optic,No,No,0.8929703363646948
5915-DGNVC,49,One year,71.8,DSL,Yes,No,0.8923363858975769
1732-VHUBQ,47,Month-to-month,70.55,Fiber optic,No,No,0.8923363858975769
4872-VXRIL,56,One year,64.65,DSL,Yes,Yes,0.8917284799232518
3422-GALYP,2,Month-to-month,79.45,Fiber optic,No,No,0.8916344469172094
8200-LGKSR,71,Two year,83.2,DSL,Yes,Yes,0.8912740636414145
2885-HIJDH,69,Two year,86.9,DSL,Yes,Yes,0.891179110688817
6950-TWMYB,54,Two year,79.95,Fiber optic,No,Yes,0.891179110688817
5131-PONJI,49,Month-to-month,90.4,Fiber optic,No,No,0.891179110688817
7633-MVPUY,57,Two year,59.75,DSL,Yes,Yes,0.890573878367756
2080-SRCDE,1,Month-to-month,25.4,No,No internet service,No internet service,0.889962393484715
6463-MVYRY,57,Two year,69.85,DSL,Yes,Yes,0.889962393484715
2209-XADXF,1,Month-to-month,25.25,DSL,No,No,0.889962393484715
6813-GZQCG,45,Two year,24.65,No,No internet service,No internet service,0.8898545881741522
9522-BNTHX,34,Month-to-month,56.25,DSL,No,No,0.8895821176365654
4079-ULGFR,16,Month-to-month,20.0,No,No internet service,No internet service,0.8894248589605286
4658-HCOHW,21,Month-to-month,102.8,Fiber optic,No,Yes,0.8891634161694545
0164-APGRB,72,Two year,114.9,Fiber optic,Yes,Yes,0.8891006375322924
8468-EHYJA,57,Month-to-month,99.65,Fiber optic,Yes,No,0.888617941804667
5787-KXGIY,72,Two year,19.3,No,No internet service,No internet service,0.8885669532780258
4893-GYUJU,50,One year,19.35,No,No internet service,No internet service,0.8885430726750755
8410-BGQXN,4,Month-to-month,19.4,No,No internet service,No internet service,0.8883477509593718
5863-OOKCL,10,Month-to-month,18.85,No,No internet service,No internet service,0.8876083841418289
9897-KXHCM,3,Month-to-month,80.3,Fiber optic,No,No,0.8875717533523256
8224-IVVPA,27,Month-to-month,56.7,DSL,Yes,No,0.8875717533523256
0840-DCNZE,47,One year,86.95,DSL,Yes,Yes,0.8869201480251444
7435-ZNUYY,6,One year,20.6,No,No internet service,No internet service,0.8867816771551191
0810-DHDBD,52,One year,74.0,DSL,Yes,Yes,0.8866035977312292
0003-MKNFE,9,Month-to-month,59.9,DSL,No,No,0.8864806930303359
3685-YLCMQ,58,One year,104.65,Fiber optic,No,Yes,0.8862300379310126
6959-GQEGV,45,Month-to-month,75.95,DSL,Yes,No,0.885556058832963
6556-DBKZF,71,Two year,76.05,Fiber optic,No,No,0.8855209245795472
8313-NDOIA,24,Month-to-month,104.15,Fiber optic,No,No,0.8855209245795472
5461-QKNTN,43,Month-to-month,94.3,Fiber optic,No,Yes,0.8855209245795472
9788-YTFGE,7,Month-to-month,19.95,No,No internet service,No internet service,0.8855209245795472
8409-WQJUX,25,One year,54.2,DSL,No,Yes,0.8855209245795472
1522-VVDMG,7,Month-to-month,89.75,Fiber optic,No,Yes,0.8855209245795472
8859-AXJZP,39,Two year,23.8,No,No internet service,No internet service,0.8855209245795472
4992-LTJNE,72,Two year,55.3,DSL,Yes,No,0.8855209245795472
7234-FECYN,8,Month-to-month,101.35,Fiber optic,No,No,0.8855209245795472
1310-QRITU,18,Month-to-month,50.3,DSL,No,No,0.8850428951348381
2391-SOORI,4,Month-to-month,49.35,DSL,Yes,No,0.8850428951348381
2974-GGUXS,36,Month-to-month,91.95,Fiber optic,No,No,0.8850185088152387
0147-ESWWR,39,Month-to-month,101.25,Fiber optic,No,Yes,0.88500042423383
7740-KKCXF,51,Month-to-month,30.05,DSL,No,No,0.8849463107054285
8174-LNWMW,31,Two year,20.9,No,No internet service,No internet service,0.8840849741174907
7508-MYBOG,14,Month-to-month,86.1,Fiber optic,No,No,0.8839889295662513
0052-YNYOT,67,One year,20.55,No,No internet service,No internet service,0.8837883894979366
1561-BWHIN,19,One year,19.8,No,No internet service,No internet service,0.8837883894979366
5847-MXBEO,22,One year,20.3,No,No internet service,No internet service,0.8837883894979366
1552-AAGRX,30,Month-to-month,106.4,Fiber optic,Yes,Yes,0.8837883894979366
4234-XTNEA,2,Month-to-month,79.95,Fiber optic,No,No,0.8832673463530312
4822-NGOCH,13,Month-to-month,84.45,Fiber optic,No,No,0.8831904846483399
7398-SKNQZ,3,Month-to-month,94.9,Fiber optic,No,No,0.8831142214032703
4690-LLKUA,17,Month-to-month,45.05,DSL,No,No,0.8830333348035251
1389-WNUIB,20,One year,76.0,DSL,Yes,No,0.8830209834179945
0637-YLETY,16,Month-to-month,95.6,Fiber optic,No,No,0.88264705761605
9451-LPGOO,7,Month-to-month,86.8,Fiber optic,No,No,0.8822638726652293
0696-UKTOX,23,Month-to-month,54.15,DSL,No,Yes,0.8822600501469309
6429-SHBCB,19,Month-to-month,69.6,DSL,No,No,0.8819669988859805
8454-AATJP,72,Two year,115.05,Fiber optic,Yes,Yes,0.8818165523530139
6348-SNFUS,72,Two year,55.45,DSL,Yes,Yes,0.8817375607251584
2692-AQCPF,65,One year,108.05,Fiber optic,No,Yes,0.8817375607251584
6078-VESFR,13,Month-to-month,70.45,Fiber optic,No,No,0.8813251647828304
4612-THJBS,56,One year,104.75,Fiber optic,No,No,0.8810547685147564
7695-PKLCZ,68,Two year,20.5,No,No internet service,No internet service,0.8807267489960496
5360-XGYAZ,72,Two year,65.65,DSL,Yes,Yes,0.8803073381849528
6437-UDQJM,72,Two year,84.1,DSL,Yes,No,0.8800576134458836
5153-LXKDT,68,Two year,110.2,Fiber optic,Yes,No,0.8800219611963632
4958-GZWIY,7,Month-to-month,48.7,DSL,No,No,0.8795880365409425
2824-MYYBN,37,Month-to-month,95.25,Fiber optic,No,No,0.8794163803227716
3392-EHMNK,67,Two year,94.1,Fiber optic,No,Yes,0.8787625826458462
6319-QSUSR,11,Month-to-month,19.7,No,No internet service,No internet service,0.8784563408759344
2898-LSJGD,21,One year,55.95,DSL,Yes,No,0.8783752871916058
4967-WPNCF,72,Two year,63.7,DSL,Yes,Yes,0.8780035803112015
7609-NRNCA,17,One year,19.55,No,No internet service,No internet service,0.8776670290087949
9206-GVPEQ,13,Month-to-month,54.45,DSL,Yes,Yes,0.8776670290087949
6231-WFGFH,4,Month-to-month,20.5,No,No internet service,No internet service,0.8775373227266742
6504-VBLFL,55,Two year,58.6,DSL,Yes,No,0.8774468653639086
8357-EQXFO,7,Month-to-month,95.35,Fiber optic,No,No,0.8771553086925746
4422-QVIJA,35,Month-to-month,50.15,DSL,No,No,0.8769836512657612
9274-CNFMO,4,Month-to-month,74.95,Fiber optic,No,No,0.8768815081420452
9146-JRIOX,14,Month-to-month,25.55,No,No internet service,No internet service,0.8768600825359856
3656-TKRVZ,3,Month-to-month,55.35,DSL,Yes,No,0.8768536586333379
9314-IJWSQ,14,Month-to-month,84.8,Fiber optic,No,No,0.8764643313452934
3740-RLMVT,67,One year,60.95,DSL,Yes,Yes,0.8760653041371461
3346-BRMIS,18,Month-to-month,48.35,DSL,No,No,0.8757074847572137
9537-VHDTA,1,Month-to-month,51.2,DSL,Yes,No,0.8757074847572137
2990-OGYTD,67,Two year,86.15,DSL,No,Yes,0.8755332793638639
1221-GHZEP,62,Two year,65.1,DSL,Yes,Yes,0.8755332793638639
6479-SZPLM,36,Two year,19.45,No,No internet service,No internet service,0.8755332793638639
7562-UXTPG,13,Month-to-month,70.15,Fiber optic,No,No,0.8754231073201233
6559-ILWKJ,71,Two year,49.35,DSL,No,No,0.8753156824196838
2749-CTKAJ,22,One year,20.15,No,No internet service,No internet service,0.8753156824196838
0746-JTRFU,2,Month-to-month,25.05,DSL,No,No,0.8752740441548122
8665-UTDHZ,1,Month-to-month,30.2,DSL,No,No,0.8752740441548122
1614-JBEBI,8,Month-to-month,20.7,No,No internet service,No internet service,0.8751487004879506
5387-ASZNZ,66,One year,63.85,DSL,Yes,Yes,0.8750761767781344
2239-CFOUJ,1,One year,20.4,No,No internet service,No internet service,0.8750685033066173
0842-IWYCP,46,Month-to-month,44.95,DSL,No,No,0.8750327844670823
1307-TVUFB,42,Month-to-month,79.35,Fiber optic,No,No,0.8744541070542666
0374-FIUCA,65,Two year,20.4,No,No internet service,No internet service,0.8744441442780605
4815-GBTCD,4,Month-to-month,25.15,DSL,No,No,0.8737409792339526
2165-VOEGB,46,One year,105.2,Fiber optic,Yes,Yes,0.8737197492107661
8782-NUUOL,60,One year,79.0,DSL,Yes,Yes,0.8735857494552388
5110-CHOPY,60,Two year,53.6,DSL,Yes,No,0.8732474164834342
9866-OCCKE,72,Two year,109.75,Fiber optic,Yes,Yes,0.8731727275694042
7173-TETGO,72,Two year,78.5,Fiber optic,Yes,No,0.8728200950641394
0945-TSONX,47,Two year,85.3,DSL,Yes,Yes,0.8726491651485417
2853-CWQFQ,1,Month-to-month,59.55,DSL,No,Yes,0.8723155687334183
0374-AACSZ,1,Month-to-month,50.15,DSL,Yes,No,0.8723023845209872
6467-CHFZW,47,Month-to-month,99.35,Fiber optic,No,No,0.8722730338410527
0953-LGOVU,12,Month-to-month,35.5,DSL,No,Yes,0.872187184958125
7395-IGJOS,17,Month-to-month,81.5,Fiber optic,No,No,0.8720256259877596
3871-IKPYH,1,Month-to-month,69.1,Fiber optic,No,No,0.8718586794346903
4983-CCWMC,3,Month-to-month,69.6,Fiber optic,No,No,0.8715212492512069
3842-IYKUE,35,Month-to-month,85.3,Fiber optic,No,Yes,0.8714424735014845
4825-XJGDM,61,One year,43.7,DSL,Yes,Yes,0.8710446593859357
8029-XYPWT,71,Two year,115.05,Fiber optic,Yes,Yes,0.8707457000342539
6921-OZMFH,5,Month-to-month,55.7,DSL,No,Yes,0.8707127258968224
4652-NNHNY,16,Month-to-month,73.85,Fiber optic,No,No,0.8704103861165755
8434-PNQZX,42,Two year,78.45,DSL,No,Yes,0.8702000635233383
7460-ITWWP,45,Month-to-month,86.1,Fiber optic,No,No,0.8700569630592294
7346-MEDWM,59,Month-to-month,83.25,Fiber optic,No,No,0.8700569630592294
0310-MVLET,61,Month-to-month,99.15,Fiber optic,No,No,0.8699477792725797
6762-NSODU,46,Two year,19.4,No,No internet service,No internet service,0.8699477792725797
3301-LSLWQ,29,Month-to-month,66.1,DSL,Yes,No,0.8698123307871805
4059-IIEBK,7,Month-to-month,78.55,Fiber optic,No,No,0.8697085174522046
2249-YPRNG,20,Month-to-month,105.85,Fiber optic,No,No,0.8694730878055112
9442-JTWDL,11,One year,20.05,No,No internet service,No internet service,0.8694388675889612
3498-LZGQZ,63,Two year,19.15,No,No internet service,No internet service,0.8692406325845063
5590-ZSKRV,8,Month-to-month,54.65,DSL,Yes,No,0.8692091321065959
9575-IWCAZ,6,One year,25.1,No,No internet service,No internet service,0.8690714132833897
5285-MVEHD,56,One year,105.6,Fiber optic,Yes,No,0.8688971906023534
7969-AULMZ,21,Month-to-month,97.35,Fiber optic,No,No,0.8688283420716704
3316-UWXUY,50,Month-to-month,93.5,Fiber optic,Yes,Yes,0.8687370288632565
1399-UBQIU,11,Month-to-month,69.35,DSL,No,No,0.868709395650226
7206-PQBBZ,11,Month-to-month,70.2,Fiber optic,No,No,0.8684063999102907
9574-RKJIF,30,Month-to-month,94.4,Fiber optic,Yes,No,0.8682790296362992
6614-FHDBO,72,Two year,109.2,Fiber optic,No,Yes,0.8682790296362992
7544-ZVIKX,58,One year,105.05,Fiber optic,No,Yes,0.8680564276728336
8107-RZLNV,72,Two year,106.3,Fiber optic,No,No,0.8679695583397552
8413-VONUO,2,Month-to-month,95.65,Fiber optic,No,No,0.8675315514612717
7521-YXVZY,3,Month-to-month,19.95,No,No internet service,No internet service,0.8674888660478477
5073-RZGBK,50,One year,80.05,DSL,Yes,Yes,0.8672338485692641
1621-YNCJH,36,Two year,106.05,Fiber optic,Yes,Yes,0.8671077088757176
1448-PWKYE,1,Month-to-month,80.0,Fiber optic,No,No,0.8669484099112417
4988-IQIGL,1,Month-to-month,75.35,Fiber optic,No,No,0.8666304967432787
8111-BKVDS,10,Month-to-month,40.7,DSL,Yes,No,0.8664799470740967
5443-SCMKX,58,One year,94.3,Fiber optic,No,No,0.8664230738792785
5047-LHVLY,1,Month-to-month,50.15,DSL,No,No,0.866226285222819
4929-XIHVW,2,Month-to-month,95.5,Fiber optic,No,No,0.865991948530852
8182-BJDSI,28,Month-to-month,89.95,Fiber optic,No,No,0.8657403404188715
4671-VJLCL,63,Two year,79.85,DSL,Yes,Yes,0.8656284765122731
4220-TINQT,61,Month-to-month,106.35,Fiber optic,No,Yes,0.8656176121761345
3192-NQECA,68,Two year,110.0,Fiber optic,No,Yes,0.8653642025381214
4476-OSWTN,69,One year,110.55,Fiber optic,Yes,Yes,0.8650166927056816
7969-FFOWG,65,Two year,19.9,No,No internet service,No internet service,0.8650023041048547
4927-WWOOZ,2,Month-to-month,91.45,Fiber optic,No,No,0.8649380034727574
8263-OKETD,20,Month-to-month,68.9,DSL,No,Yes,0.8648959198187427
9878-TNQGW,2,Month-to-month,80.95,Fiber optic,No,No,0.8647049903517768
1750-CSKKM,9,Month-to-month,55.35,DSL,No,No,0.8647049903517768
2043-WVTQJ,1,Month-to-month,55.7,DSL,Yes,No,0.8641983541737814
5035-BVCXS,11,Month-to-month,75.9,Fiber optic,No,No,0.8641103092778298
5136-GFPMB,54,Month-to-month,89.4,Fiber optic,No,No,0.863823292286236
0699-NDKJM,57,Month-to-month,58.75,DSL,Yes,No,0.863823292286236
9919-KNPOO,21,Month-to-month,94.3,Fiber optic,No,No,0.8631143600652877
3318-OSATS,35,Month-to-month,95.45,Fiber optic,No,No,0.862838928311712
4282-ACRXS,38,Month-to-month,24.85,DSL,No,No,0.862738742029913
8816-VXNZD,1,Month-to-month,75.1,Fiber optic,No,No,0.8627023431116203
7601-GNDYK,35,Two year,19.6,No,No internet service,No internet service,0.8626032352244648
0319-QZTCO,3,Month-to-month,58.7,DSL,No,No,0.8624806493482043
6856-RAURS,2,Month-to-month,74.9,Fiber optic,No,No,0.8624788406061882
0618-XWMSS,28,Month-to-month,74.9,Fiber optic,Yes,No,0.8621447442635395
5846-ABOBJ,71,Two year,24.45,No,No internet service,No internet service,0.8620803812736447
0675-NCDYU,72,Two year,116.4,Fiber optic,Yes,Yes,0.8618520886026778
9978-HYCIN,47,One year,84.95,Fiber optic,No,No,0.8615485848592739
2205-YMZZJ,7,Month-to-month,84.8,Fiber optic,No,No,0.8615051762334168
5924-IFQTT,13,Month-to-month,72.8,DSL,No,Yes,0.8604519295486089
7615-ESMYF,2,Month-to-month,44.6,DSL,No,No,0.8603964548979949
9018-PCIOK,55,Two year,64.75,DSL,No,No,0.8603005656621192
5192-EBGOV,1,Month-to-month,85.7,Fiber optic,No,No,0.8601253047869807
9089-UOWJG,12,Month-to-month,58.35,DSL,No,No,0.8600678359462822
4115-NZRKS,7,Month-to-month,89.15,Fiber optic,No,No,0.8599718750825356
4412-YLTKF,27,Month-to-month,78.05,Fiber optic,No,No,0.8596940717807752
3410-MHHUM,44,One year,94.4,Fiber optic,No,No,0.8594150761415906
1494-EJZDW,10,Two year,20.15,No,No internet service,No internet service,0.8593708201043202
5016-LIPDW,57,One year,19.4,No,No internet service,No internet service,0.8592694469806489
8745-PVESG,57,One year,41.1,DSL,Yes,Yes,0.8591154250605034
2260-USTRB,2,Month-to-month,70.2,Fiber optic,No,No,0.8590301851602737
7905-TVXTA,5,Month-to-month,64.35,DSL,Yes,Yes,0.8588774283665107
7379-FNIUJ,2,Month-to-month,100.2,Fiber optic,Yes,No,0.8586389130648516
2842-BCQGE,43,Month-to-month,75.35,Fiber optic,No,No,0.8583154013742498
8317-BVKSO,14,Month-to-month,20.05,No,No internet service,No internet service,0.8582841243486047
2378-VTKDH,65,Month-to-month,104.35,Fiber optic,No,No,0.8582555002933842
6434-TTGJP,10,Two year,53.7,DSL,Yes,Yes,0.8581682411695468
1867-BDVFH,11,Month-to-month,74.35,Fiber optic,No,No,0.858102965078312
9650-VBUOG,38,Two year,25.05,No,No internet service,No internet service,0.8576498962825231
7576-OYWBN,3,Month-to-month,76.05,Fiber optic,No,No,0.8576256304894042
2079-FBMZK,6,Month-to-month,69.25,Fiber optic,No,No,0.8569858726830486
5955-EPOAZ,6,Month-to-month,20.95,No,No internet service,No internet service,0.85695001578367
2587-YNLES,6,Two year,20.1,No,No internet service,No internet service,0.8567031528912581
3737-GCSPV,11,Month-to-month,96.2,Fiber optic,Yes,Yes,0.8563584100235003
5748-RNCJT,69,Two year,106.5,Fiber optic,No,Yes,0.8562509874776993
1866-NXPSP,36,One year,75.55,DSL,Yes,Yes,0.8559087077743852
7103-ZGVNT,69,One year,73.7,DSL,Yes,Yes,0.8559019682169265
2203-GHNWN,24,Month-to-month,79.65,Fiber optic,No,No,0.855900231266329
2157-MXBJS,13,One year,75.3,DSL,No,No,0.8558979966779208
7851-WZEKY,2,Month-to-month,95.15,Fiber optic,No,No,0.8558952123521977
1293-BSEUN,72,Two year,20.7,No,No internet service,No internet service,0.8556581555031485
8597-CTXVJ,70,One year,64.95,DSL,Yes,Yes,0.8553882708068588
2335-GSODA,23,Two year,40.1,DSL,Yes,Yes,0.8553146525105412
7665-TOALD,1,Month-to-month,69.6,Fiber optic,No,No,0.8550672665662404
4818-DRBQT,29,Month-to-month,80.15,Fiber optic,No,No,0.855023153615203
6923-AQONU,23,Two year,20.9,No,No internet service,No internet service,0.8547228523985997
8125-QPFJD,72,Two year,84.9,DSL,Yes,Yes,0.8547175788907344
5499-ECUTN,47,One year,66.05,DSL,Yes,No,0.8547115774127689
2382-BCKQJ,62,One year,100.15,Fiber optic,No,No,0.8544869995418506
0266-CLZKZ,67,Two year,105.65,Fiber optic,No,Yes,0.8541449222265157
9614-RMGHA,65,Month-to-month,91.85,Fiber optic,No,No,0.8541021032991327
5981-ITEMU,40,Month-to-month,97.1,Fiber optic,No,No,0.8540791670930991
9647-ERGBE,30,Month-to-month,100.05,Fiber optic,No,No,0.8538388557678891
2920-RNCEZ,1,Month-to-month,69.95,Fiber optic,No,No,0.8538388557678891
0374-IOEGQ,3,Month-to-month,44.6,DSL,No,No,0.8533249340730151
8631-WUXGY,46,Month-to-month,99.8,Fiber optic,No,No,0.853317978210638
6876-ADESB,1,Month-to-month,48.95,DSL,No,No,0.853317978210638
4612-SSVHJ,20,Month-to-month,81.45,Fiber optic,No,No,0.8531859436370505
6100-QQHEB,17,Month-to-month,92.55,Fiber optic,No,No,0.8530908066828647
6175-IRFIT,5,Month-to-month,78.75,Fiber optic,No,No,0.8529045232736746
6869-FGJJC,68,One year,79.6,Fiber optic,No,No,0.8527305273545791
3063-QFSZL,1,Month-to-month,55.4,DSL,No,No,0.8526770022224694
7399-QHBJS,72,Two year,66.75,DSL,Yes,Yes,0.8526707190275818
6140-QNRQQ,1,Month-to-month,71.55,Fiber optic,No,No,0.8524656568631489
3736-BLEPA,28,One year,91.25,Fiber optic,No,Yes,0.8523434196059284
8097-OMULG,59,One year,76.75,DSL,No,Yes,0.8522344411086942
2829-HYVZP,29,One year,19.8,No,No internet service,No internet service,0.8522344411086942
8405-IGQFX,63,One year,90.05,Fiber optic,No,Yes,0.8522344411086942
9061-TIHDA,13,Month-to-month,95.25,Fiber optic,No,No,0.8518589369727284
5055-BRMNE,67,Two year,106.7,Fiber optic,Yes,Yes,0.8517192728659699
4489-SNOJF,35,Month-to-month,72.25,DSL,Yes,Yes,0.8516182245770101
2690-DVRVK,5,One year,20.55,No,No internet service,No internet service,0.8515503088756117
6103-LIANB,59,Two year,99.5,Fiber optic,No,No,0.8513739480762177
2719-BDAQO,17,Month-to-month,93.85,Fiber optic,Yes,No,0.851345408607636
9356-AXGMP,38,One year,110.7,Fiber optic,Yes,Yes,0.851279714620998
4026-SKKHW,3,Month-to-month,50.25,DSL,No,Yes,0.8511033942822737
2832-KJCRD,38,Month-to-month,103.65,Fiber optic,No,Yes,0.8510870236166258
5815-HGGHV,20,One year,64.15,DSL,Yes,Yes,0.850690656049129
9367-TCUYN,12,Month-to-month,20.1,No,No internet service,No internet service,0.8497817586306812
3774-VBNXY,64,Two year,20.2,No,No internet service,No internet service,0.849551839516313
1241-FPMOF,52,Two year,19.65,No,No internet service,No internet service,0.8494677616029785
0434-CSFON,47,Month-to-month,100.5,Fiber optic,No,No,0.849442623527106
0667-NSRGI,48,One year,69.55,DSL,No,Yes,0.8491394162082063
4718-WXBGI,72,Two year,91.95,DSL,Yes,Yes,0.8490893663595227
9675-ICXCT,72,Two year,80.8,DSL,Yes,Yes,0.8489800122939168
9974-JFBHQ,64,Month-to-month,99.15,Fiber optic,No,Yes,0.8486971803125486
9602-WCXPI,50,One year,20.15,No,No internet service,No internet service,0.8486904959576449
8205-VSLRB,70,Two year,77.3,DSL,Yes,Yes,0.8485620392043952
5226-NOZFC,26,Month-to-month,85.75,Fiber optic,No,No,0.8479935534714795
2454-RPBRZ,12,Month-to-month,98.1,Fiber optic,No,No,0.8479234732613464
1395-WSWXR,24,Two year,20.75,No,No internet service,No internet service,0.8477164299130047
2027-WKXMW,63,Month-to-month,108.75,Fiber optic,No,Yes,0.8476435267006022
1159-WFSGR,16,Month-to-month,20.4,No,No internet service,No internet service,0.8475678000351259
4187-CINZD,46,One year,95.25,Fiber optic,No,No,0.8475253335077021
5389-FFVKB,32,Month-to-month,80.3,Fiber optic,No,No,0.8474723459883929
7841-TZDMQ,2,Month-to-month,46.0,DSL,No,No,0.8473802693413104
7825-GKXMW,1,Month-to-month,45.8,DSL,No,No,0.847375659742723
4248-HCETZ,30,Month-to-month,79.65,Fiber optic,No,No,0.8470822401509698
0422-OHQHQ,15,One year,20.55,No,No internet service,No internet service,0.8469979385429001
6358-LYNGM,1,Month-to-month,74.9,Fiber optic,No,No,0.8466662290228797
